[2026-04-06 21:50:40] Monitor iniciado com PID 49888
[2026-04-06 21:50:40] ✅ Monitor ativo - Ctrl+C para parar
[2026-04-06 21:50:46] ⚠️ ALERTA: 7 erros detectados
[2026-04-06 21:50:46] Próxima verificação em 30 segundos...
[2026-04-06 21:51:23] ⚠️ ALERTA: 7 erros detectados
[2026-04-06 21:51:23] Próxima verificação em 30 segundos...
[2026-04-06 21:51:58] ⚠️ ALERTA: 7 erros detectados
[2026-04-06 21:51:58] Próxima verificação em 30 segundos...
[2026-04-06 21:52:44] ⚠️ ALERTA: 7 erros detectados
[2026-04-06 21:52:44] Próxima verificação em 30 segundos...
[2026-04-06 21:53:34] ⚠️ ALERTA: 7 erros detectados
[2026-04-06 21:53:34] Próxima verificação em 30 segundos...
[2026-04-06 21:54:43] ⚠️ ALERTA: 7 erros detectados
[2026-04-06 21:54:43] Próxima verificação em 30 segundos...
[2026-04-06 21:55:25] ⚠️ ALERTA: 7 erros detectados
[2026-04-06 21:55:25] Próxima verificação em 30 segundos...
[2026-04-06 21:56:20] ⚠️ ALERTA: 7 erros detectados
[2026-04-06 21:56:20] Próxima verificação em 30 segundos...
[2026-04-06 21:57:19] ⚠️ ALERTA: 7 erros detectados
[2026-04-06 21:57:19] Próxima verificação em 30 segundos...
[2026-04-06 21:58:19] ⚠️ ALERTA: 7 erros detectados
[2026-04-06 21:58:19] Próxima verificação em 30 segundos...
[2026-04-06 21:58:49] Limpeza de logs antigos executada
[2026-04-06 21:58:55] ⚠️ ALERTA: 7 erros detectados
[2026-04-06 21:58:55] Próxima verificação em 30 segundos...
[2026-04-06 21:59:31] ⚠️ ALERTA: 7 erros detectados
[2026-04-06 21:59:31] Próxima verificação em 30 segundos...
[2026-04-06 22:00:05] ⚠️ ALERTA: 7 erros detectados
[2026-04-06 22:00:05] Próxima verificação em 30 segundos...
[2026-04-06 22:00:44] ⚠️ ALERTA: 7 erros detectados
[2026-04-06 22:00:44] Próxima verificação em 30 segundos...
[2026-04-06 22:01:19] ⚠️ ALERTA: 7 erros detectados
